사업코드,시군구읍면동 명칭,공사시 생활폐기물 발생량,운영시 생활폐기물 발생량,생활폐기물 발생량,건설폐기물 처리현황_매립,건설폐기물 처리현황_소각,건설폐기물 처리현황_재활용,사업장배출시설계 폐기물의 처리 현황_매립,사업장배출시설계 폐기물의 처리 현황_소각,사업장배출시설계 폐기물의 처리 현황_재활용,사업장배출시설계 폐기물의 처리 현황_해역배출,사업장 지정 폐기물의 처리 현황_매립,사업장 지정 폐기물의 처리 현황_소각,사업장 지정 폐기물의 처리 현황_재활용,사업장 지정 폐기물의 처리 현황_기타,생성일,수정일,사용여부
ND2008B015,울산광역시,190.7,1142.3,1076400,,,,,,,,,,,,,,Y
ND2008B015,울주군,190.7,1142.3,177200,1.2,6.8,875.8,41.4,28.1,27.3,1340,23639.4,6885.8,23684.1,1367.2,,,Y
ND2009B001,울산광역시,30.69,277,1097900,119.4,57.3,5138.5,1415.2,263.4,3055,917,156773.3,81677.3,135854.3,10224.4,,,Y
ND2009B001,울주군,30.69,277,171200,44.8,22.3,1106.9,796.7,44.9,784,402.2,33709.9,8209.9,34854.8,3032.1,,,Y
DG2009B007,대구광역시,100.8,6534.5,2635400,3.7,24.7,6781.9,315,15.2,943,1004.5,17657.1,8542.5,64463.7,1533.4,,,Y
DG2009B007,달서구,100.8,6534.5,505300,3,5.3,1400.3,127.5,4.2,111.4,226.6,12165.9,2651.4,8879.6,164.7,,,Y
ND2008B028,마산시,60,33022.4,500700,,0.6,793.7,70,20.5,75.1,59.7,,,,,,,Y
GG2008B007,천안시,59.7,5660.9,834800,0.1,20.6,1676,84.7,88.6,148.8,17.9,1726.7,6446.1,69704.2,10441.2,,,Y
HG2009B001,통영시,37.4,3194,116100,0.1,0.8,426.8,16.1,13.1,57,10.8,,,,,,,Y
HG2009B003,화성시,69.3,2350,270300,9,0.3,261,96.1,136.6,483.5,324.7,,,,,,,Y
ND2009B013,함안군,117.42,558900,37900,,0.2,399,83.5,89.7,519.6,15.3,3720.4,591.6,21530,537.7,,,Y
ND2009B018,함안군,117.42,4262.6,37900,,0.2,399,83.5,89.7,519.6,15.3,3720.4,591.6,21530,537.7,,,Y
ND2009B004,밀양시,76.3,83449,114100,2.1,0.2,429.1,,,,,,,,,,,Y
ND2010B001,고성군,5.5,565.9,30900,0.2,0.1,187.8,642,2,1919.7,180,,,,,,,Y
JJ2009B002,무주군,29.9,137.34,20600,0,0,282.6,0.1,0.5,3.7,2.3,,,,,,,Y
GG2009B008,당진군,26.9,21420,85900,,,,,,,,,,,,,,Y
ND2009B021,울산광역시,94.86,1509.82,1097900,119.4,57.3,5138.5,1415.2,263.4,3055,917,156773.3,81677.3,135854.3,10224.4,,,Y
ND2009B021,울주군,94.86,1509.82,171200,44.8,22.3,1106.9,796.7,44.9,784,402.2,33709.9,8209.9,34854.8,3032.1,,,Y
YS2009B013,신안군,141.3,140404,40100,,0.1,120.5,,,25.4,,,13.6,82.8,,,,Y
WJ2009B003,삼척시,117.1,614.66,98100,0,0,537.6,2.5,0.2,3.5,2,6.3,177.8,822.3,79.4,,,Y
ND2010B020,울산광역시,49.29,2433,1111800,62.4,83.6,6195.8,924.8,294.3,3335.2,921,52706.6,119392.7,139463.6,3966,,,Y
ND2010B020,울주군,49.29,2433,179400,26.1,23.7,1192.7,308.8,46.1,843.6,465.4,39865.7,41325.8,35014.5,1907.7,,,Y
JJ2010B003,남원시,107.39,276,97200,,1.1,441,4.6,1.8,140.2,15.7,227.3,9.7,1154.4,0.4,,,Y
DG2011B003,김천시,201.6,8153.77,174400,0.6,2.4,798.2,41.3,88.2,125.4,18.7,1243.2,3242.8,3947,1085.8,,,Y
WJ2012B002,춘천시,126.15,5890,475500,0,2.8,655.1,2.2,0,27.3,33.5,,,,,,,Y
GG2011B005,청원군,112,34289,176600,0.4,2.2,859.3,183.5,871.9,714.5,13.3,5285.6,4769.4,11936.6,4439.7,,,Y
GG2011B005,연기군,112,34289,110900,0.6,18.8,1949.1,63.7,18.2,256.1,3.9,951.7,345.5,5281.1,3201,,,Y
